intervals,technique,fold,horizon,cosine,rmse,er_pred,er_actual
75,nav,0,0,0.0330295666921655,4.443013241783854,5.502113156250099,4.545408870439585
75,nav,1,0,0.023098305566969124,3.4038817186820847,5.984042986081262,5.032552500474465
75,nav,2,0,0.03609146842915789,4.89534818321195,5.073207737241129,4.104181457846501
75,nav,3,0,0.017011584330528073,3.1620907588023264,5.273337426479741,4.462647390687442
75,nav,4,0,0.012657835534589212,2.8707429694048394,5.178835131145821,4.5267389085736385
75,nav,5,0,0.04405612138127024,4.9157971610304525,5.571060829225776,4.829241158711842
75,nav,6,0,0.10152808371067223,8.195553496100066,5.898937196750296,4.327482091757218
75,nav,7,0,0.044620409755255275,5.394911659201503,4.973363795557505,4.146709153242097
75,nav,8,0,0.03511335672104332,4.5641476409715915,5.847700855608465,4.63495999974222
75,nav,9,0,0.09078347027123246,7.246174125746532,6.549187799953198,4.547226692983608
75,nav,0,1,0.03072433568669386,4.262084779385162,5.849001766023605,4.670928556716118
75,nav,1,1,0.03359560072667089,4.4766608524022855,5.6318400223923275,4.545408870439585
75,nav,2,1,0.02328584600364403,3.417220624694798,5.965943685727569,5.032552500474465
75,nav,3,1,0.036436000347409125,4.919445662519054,5.070420507175,4.104181457846501
75,nav,4,1,0.017308017828233768,3.192057773480542,5.2781262158835895,4.462647390687442
75,nav,5,1,0.01301356991915048,2.906399919802359,5.188369926502747,4.5267389085736385
75,nav,6,1,0.04718556045174249,5.080021388681176,6.054952016693552,4.829241158711842
75,nav,7,1,0.1038793041389412,8.281608899893488,5.90825053062806,4.327482091757218
75,nav,8,1,0.044167568432744386,5.377799680433649,4.973846688340646,4.146709153242097
75,nav,9,1,0.037801895296780685,4.718167493984176,6.076581907849389,4.63495999974222
75,nav,0,2,0.02336838574709832,3.719218854664093,5.528054725502177,4.528345036766333
75,nav,1,2,0.03108718799218113,4.2844196835300075,5.895328410271331,4.670928556716118
75,nav,2,2,0.0343511056554513,4.527088073747753,5.63032604872579,4.545408870439585
75,nav,3,2,0.02394001792553946,3.464272222718204,6.002144039657137,5.032552500474465
75,nav,4,2,0.037044265004011256,4.9597029264959644,5.0777459911322405,4.104181457846501
75,nav,5,2,0.01743636013067884,3.2048766852877875,5.27764118362342,4.462647390687442
75,nav,6,2,0.01370778245313986,2.9773642903647226,5.596125214101838,4.5267389085736385
75,nav,7,2,0.0483034763102268,5.1390642505529955,6.058390065878152,4.829241158711842
75,nav,8,2,0.10238009392408687,8.232731761694602,5.897783415244316,4.327482091757218
75,nav,9,2,0.043274062535337166,5.334882285480524,5.149398531073571,4.146709153242097
75,nav,0,3,0.06652327959115911,6.5513637257189945,5.22240116309916,4.3093610230777575
75,nav,1,3,0.023723271365622356,3.744037479843078,5.607166099872872,4.528345036766333
75,nav,2,3,0.03198010892056635,4.344905865841594,5.8902114830098355,4.670928556716118
75,nav,3,3,0.034904065816498075,4.562800558447653,5.650226794037131,4.545408870439585
75,nav,4,3,0.024237562959752545,3.4854225034140685,5.999406841401709,5.032552500474465
75,nav,5,3,0.036260212028716876,4.918998191692749,5.077282418723211,4.104181457846501
75,nav,6,3,0.017163068440384288,3.1895783794650896,5.571136223458258,4.462647390687442
75,nav,7,3,0.014609670393548657,3.0666214989501803,5.596077883879839,4.5267389085736385
75,nav,8,3,0.04756094088515572,5.103501680500581,6.05544839168002,4.829241158711842
75,nav,9,3,0.09889374218979485,8.112245680176583,6.013436745404444,4.327482091757218
75,nav,0,4,0.016901427608496444,3.1054307269684833,5.48763557301959,4.721859584796138
75,nav,1,4,0.06644698248923264,6.547940622900959,5.239365242288518,4.3093610230777575
75,nav,2,4,0.02479166176819647,3.824683906288818,5.604660049586454,4.528345036766333
75,nav,3,4,0.0327043825351645,4.392059781616765,5.90347179961849,4.670928556716118
75,nav,4,4,0.035378074569087814,4.594838626979355,5.662617585370682,4.545408870439585
75,nav,5,4,0.024855416386681983,3.5290155308929925,5.987869821329355,5.032552500474465
75,nav,6,4,0.035209183146944545,4.867997549068924,5.303937156200557,4.104181457846501
75,nav,7,4,0.01707978824222045,3.191624532965229,5.567401811805246,4.462647390687442
75,nav,8,4,0.015080586409479735,3.1142426335547517,5.601836889842475,4.5267389085736385
75,nav,9,4,0.04543415662104566,4.995824153513975,6.188341289668845,4.829241158711842
75,nav,0,5,0.037971362102887096,4.682631026819574,5.5170827248386205,4.8092273012354765
75,nav,1,5,0.017389329495025918,3.1456002253073803,5.517617297155565,4.721859584796138
75,nav,2,5,0.06807777393874548,6.622489988644102,5.248849503107124,4.3093610230777575
75,nav,3,5,0.025312221789382194,3.8639694676952767,5.619265966594865,4.528345036766333
75,nav,4,5,0.033030807489051406,4.416110818537586,5.900517822120674,4.670928556716118
75,nav,5,5,0.03558013322425868,4.608392773041083,5.6407894141739,4.545408870439585
75,nav,6,5,0.02558218327285322,3.5796035749650637,6.421089356325292,5.032552500474465
75,nav,7,5,0.03594582896919907,4.918893278683132,5.301681842343135,4.104181457846501
75,nav,8,5,0.017826523725174903,3.2574845499784724,5.582869787119912,4.462647390687442
